file,slug,inferred_parent
1744-testament-san-sebastian-teitipac-translation0.dzi,1744-testament-san-sebastian-teitipac-translation0,1744-testament-san-sebastian-teitipac-translation0
1744-testament-san-sebastian-teitipac-translation1.dzi,1744-testament-san-sebastian-teitipac-translation1,1744-testament-san-sebastian-teitipac-translation1
1744-testament-san-sebastian-teitipac-translation2.dzi,1744-testament-san-sebastian-teitipac-translation2,1744-testament-san-sebastian-teitipac-translation2
1744-testament-san-sebastian-teitipac0.dzi,1744-testament-san-sebastian-teitipac0,1744-testament-san-sebastian-teitipac0
1744-testament-san-sebastian-teitipac1.dzi,1744-testament-san-sebastian-teitipac1,1744-testament-san-sebastian-teitipac1
1744-testament-san-sebastian-teitipac2.dzi,1744-testament-san-sebastian-teitipac2,1744-testament-san-sebastian-teitipac2
1744-testament-san-sebastian-teitipac3.dzi,1744-testament-san-sebastian-teitipac3,1744-testament-san-sebastian-teitipac3
1744-testament-san-sebastian-teitipac4.dzi,1744-testament-san-sebastian-teitipac4,1744-testament-san-sebastian-teitipac4
Al642T_41r.dzi,Al642T_41r,Al642T
Al642T_41v.dzi,Al642T_41v,Al642T
Al642T_42r.dzi,Al642T_42r,Al642T
Al642_40r.dzi,Al642_40r,Al642
Al642_40v-2.dzi,Al642_40v-2,Al642
Al642_40v-3.dzi,Al642_40v-3,Al642
Al642_40v.dzi,Al642_40v,Al642
Al649T_37r.dzi,Al649T_37r,Al649T
Al649T_37v-1.dzi,Al649T_37v-1,Al649T
Al649T_37v-2.dzi,Al649T_37v-2,Al649T
Al649T_37v-3.dzi,Al649T_37v-3,Al649T
Al649T_37v-4.dzi,Al649T_37v-4,Al649T
Al649T_37v-5.dzi,Al649T_37v-5,Al649T
Al649_36r.dzi,Al649_36r,Al649
Al649_36v-1.dzi,Al649_36v-1,Al649
Al649_36v-2.dzi,Al649_36v-2,Al649
Al649_36v-3.dzi,Al649_36v-3,Al649
Al649_36v-4.dzi,Al649_36v-4,Al649
Al683aT_60r.dzi,Al683aT_60r,Al683aT
Al683aT_60v.dzi,Al683aT_60v,Al683aT
Al683aT_61r.dzi,Al683aT_61r,Al683aT
Al683a_59r.dzi,Al683a_59r,Al683a
Al683a_59v.dzi,Al683a_59v,Al683a
Al683bT_34r.dzi,Al683bT_34r,Al683bT
