Name of Document,Site Link,Ticha ID,Year,Town,Archive,Type of Document,Language,Transcription Status,Legibility Status
"Bill of Sale from Oaxaca de Juárez, 1740",https://ticha.haverford.edu/en/texts/An740,An740,1740,Oaxaca de Juárez,"Archivo General del Poder Ejecutivo del Estado de Oaxaca, Mexico",Bill of Sale,Zapotec,Completed and Checked,High
"Bill of Sale from San Antonio Ocotlán, 1731",https://ticha.haverford.edu/en/texts/Oc731,Oc731,1731,San Antonio Ocotlán,"Archivo General del Poder Ejecutivo del Estado de Oaxaca, Mexico",Bill of Sale,Zapotec,Completed and Checked,Low
"Bill of Sale from San Jerónimo Tlacochahuaya, 1675",https://ticha.haverford.edu/en/texts/Tl675a,Tl675a,1675,San Jerónimo Tlacochahuaya,"Archivo General del Poder Ejecutivo del Estado de Oaxaca, Mexico",Bill of Sale,Zapotec,Completed and Checked,High
"Bill of Sale from San Miguel Etla, 1666",https://ticha.haverford.edu/en/texts/SME666,SME666,1666,San Miguel Etla,"Archivo Histórico de Notarias del Estado de Oaxaca, Mexico",Bill of Sale,Zapotec,Completed and Checked,High
"Bill of Sale from San Miguel Talistaca, 1656",https://ticha.haverford.edu/en/texts/Ta656,Ta656,1656,San Miguel Talistaca,"Archivo General del Poder Ejecutivo del Estado de Oaxaca, Mexico",Bill of Sale,Zapotec,In Progress,Low
"Bill of Sale from San Pedro el Alto, 1642",https://ticha.haverford.edu/en/texts/Al642,Al642,1642,San Pedro el Alto,"Archivo General de la Nación, Mexico",Bill of Sale,Zapotec,Completed and Checked,High
"Bill of Sale from San Pedro el Alto, 1698",https://ticha.haverford.edu/en/texts/Al698,Al698,1698,San Pedro el Alto,"Archivo General de la Nación, Mexico",Bill of Sale,Zapotec,Completed and Checked,High
"Bill of Sale from San Pedro el Alto, 1700",https://ticha.haverford.edu/en/texts/Al700,Al700,1700,San Pedro el Alto,"Archivo General de la Nación, Mexico",Bill of Sale,Zapotec,Completed and Checked,High
"Bill of Sale from San Pedro el Alto, 1707",https://ticha.haverford.edu/en/texts/Al707,Al707,1707,San Pedro el Alto,"Archivo General de la Nación, Mexico",Bill of Sale,Zapotec,Completed and Checked,High
"Bill of Sale from San Pedro el Alto, 1711",https://ticha.haverford.edu/en/texts/Al711b,Al711b,1711,San Pedro el Alto,"Archivo General de la Nación, Mexico",Bill of Sale,Zapotec,Completed and Checked,
